name,address,postcode,number
Horticulture Darnall,"Staniforth Shcffield  Roaf,",s94rd,647-651
The Currock,"Road, Currock  Boundary Carlisle Inn, The",ca24hh,41-43
John's Farmer,"Road, xest Aldridge Strectly, Walsall, Midlands",b742dx,
Richmond Community Club Hill,"Railway Leeds Hill, Richmdnd Stleet,",ls98hb,
The Eriskyne,"Erskine, Unit  Square, Bargarran Rcnfrewshire",pa86bs,"1,"
Club Legion British Greens Norton,"Greens School Norton,  Northamptonshire Lane,",nn128bu,10
Inn Victoria,"Threemilestone, Victoria Truro The Road, Chyvelah Ijn,",tr36by,
Of Moorlands Pride The,"LEEK OF PRIDE MOORLANDS THE ROAD, JUNCTION THE",st135qp,
Arms Brickmakers," Brajbles, The Holt Road, Horsford",nr103er,218
Bar Woodshed,"Coylqmbridge, Aviemore, Hilton Highland",ph221qn,
Snipe The,Alfrmton Road,ng171je,
Purbrook Club Cricket,"Club, Purbrook Wyterlooville Road, Heats Cricket Purbrook,",po75ru,
Lounge Basrah,"Road, Dukes Acton ",w30sl,165
Inn The Silverton,Fora Exeter Devor Silverton  Street,ex54hp,5
Golden Swan,"Pewsey, Wiltshire Wilcot,",sn95nn,
Circus Electric," jortsmouth Road, Commercial",po11ej,108
Stony Conservative Club Stratford,"Stony High Milton Stratford,  Keynas Street,",mk111ay,77
Crowns Three,"Archer  Darlyagton Street,",dl36lu,53
Inn Wheatsheaf,"durham road, chester-ly-streer",dh32ab,
54 Orchid Winebar,"Strfet, Esrex Sun Waltham Abbey, ",en91ej,54
Dawnay The Arms,"Yorkshire Newton Ouse, North On",yo302br,
Conservative Club Framlingham,"Framlingnam, Ssreet,  Church Suffolk",ip139bh,10
Comrades & Club District Nailsworth,"Bristol Old Nailsworth, Gloucestershire Stroud, Road,",gl60je,
Singer,"Singec, Islingtonq  Road, City London",ec1y1ag,1-5
Budleigh Football Salterton Club,"Budleigh Lane, Salterton Greefway",ex96sg,
& Fox Hounds,"PLUMSTEAD COMMON ROAD, LONDON ",se183as,57
White Club Sports & Bar Horse,Caravan Lane Park Chikhester Sussmx Horse Complex Paddock Selsey West White JB,po209ej,
Prince Wales of,"Of Daokeith Place, Kettering,wPrince Wales, Northamptonshire",nn160bs,
Tavern The Norton,"Station Rpad, Nsrton",ts201pe,
The Bull Hotel,"london  hizl, xhooters",se183hp,151
Moo Clubrooms Moo,"Moo, Cheltenham, Gloucesterscire Regent Street, Moo",gl501he,
Ex-Servicemen Havant Club,"SERVICEMEN BRITISH CLUB, AND EX HAVANT LANE, LEGION BROwKrAMPTON",po91lz,
TAVERN WESTBURY,"Road, The Tarern, Westbury Staffordshire Lyme, Westbury Under Newcastle",st54jw,
Club Slimbridge Football,"Wisloe Gloicestershire Road, Gloucester, Cambridgew",gl27af,
Institute & New Haw Club," ADDLESTONE NEW AND LANE, CLUB WOODHAM HAW INSTITUTE,",kt153na,48
Club Yacht Meirioneth,"Gwynedd Barmoutg, The Quay,",ll421hb,
Stanley The,"Magdalen Rosd,  Njrwich",nr34lg,33
Tavern Furlong The,"Stoke-On-Trent Road, Furlong Tunstall,",st65up,
The White House,"Oxford,  OxfordshirepAbingdon Road,",ox14pd,38
Arms Kings," Central, Lancashire Road Morecambe, Marine",la44bj,248
The Wouldhave," Tyne & Road,rMile End South Shielus, Wear",ne331ta,40-42
Lion White,"High Cambridgeshire  Sawston, Street,",cb223hj,96
and Pen Wig," And Margatz, Pen, Kent Market Wig Place,",ct91en,10
Bell Blue Hotel,"Street, pldham Shaw, Bell,  Market Blue",ol28nr,11-13
